pt,n_total_pt
LARYNGOMALACIA,272
ABDOMINAL PAIN,185932
DYSPEPSIA,78422
PNEUMONIA,273233
WHITE BLOOD CELL COUNT ABNORMAL,5713
ABDOMINAL PAIN UPPER,169740
ANAEMIA,153982
ASTHENIA,305043
BACK PAIN,192167
DIZZINESS,398766
HAEMORRHAGE,86862
NAUSEA,639591
OCCULT BLOOD POSITIVE,1238
PAIN IN EXTREMITY,243417
RESPIRATORY DISORDER,23893
VOMITING,374432
CONVULSION,15681
DYSPNOEA,463439
DYSSTASIA,23778
HEADACHE,519252
MUSCLE RIGIDITY,9194
MUSCLE SPASMS,151537
SERUM FERRITIN INCREASED,4005
SPEECH DISORDER,40686
BRAIN STEM STROKE,425
MYOCARDIAL INFARCTION,109293
ARRHYTHMIA,34319
FALL,273131
INFARCTION,5434
PALLOR,21051
PETIT MAL EPILEPSY,3761
PUPILLARY REFLEX IMPAIRED,1098
UNRESPONSIVE TO STIMULI,19768
CONFUSIONAL STATE,125590
HYPOKINESIA,12215
MUSCULOSKELETAL PAIN,42544
NECK PAIN,46004
PAIN,525915
METHAEMOGLOBINAEMIA,1899
OVERDOSE,185599
HOT FLUSH,64160
THERMAL BURN,5337
ACUTE TONSILLITIS,77
CELLULITIS GANGRENOUS,157
DRUG INTERACTION,122396
GASTRITIS,19634
HYPERKALAEMIA,26752
HYPERKERATOSIS,4613
MYALGIA,132974
PYREXIA,275271
SEPSIS,88992
TOXICITY TO VARIOUS AGENTS,157057
TREMOR,126788
ULCER,12450
BRAIN HYPOXIA,830
BRAIN OEDEMA,9400
CARDIO-RESPIRATORY ARREST,28832
COMA,35355
COMPLETED SUICIDE,59557
PULSE ABSENT,2914
TACHYARRHYTHMIA,1715
DERMATITIS,18162
DISEASE RECURRENCE,42948
DRUG LEVEL INCREASED,12725
ABSCESS,12851
CARDIAC ARREST,59120
CEREBRAL ATROPHY,2468
DERMATITIS ATOPIC,49094
ECZEMA HERPETICUM,430
HYPERNATRAEMIA,3985
HYPERREFLEXIA,2492
HYPOTHERMIA,7866
IRRITABILITY,46067
MEDICAL DEVICE COMPLICATION,4311
NEUROLOGICAL SYMPTOM,4351
PSEUDOMONAL SEPSIS,1333
CYST,10335
INTERVERTEBRAL DISC DISORDER,3217
SPINAL COLUMN STENOSIS,3142
SPINAL DECOMPRESSION,358
SPINAL PAIN,11444
APHAGIA,2701
CHEST PAIN,136178
CORONARY ARTERY THROMBOSIS,1122
DRUG HYPERSENSITIVITY,178777
HEART RATE INCREASED,76742
WEIGHT DECREASED,228166
BREAST CANCER,74318
DEVICE COMPONENT ISSUE,36
THROMBOSIS,63464
UNEVALUABLE EVENT,62693
TENDON RUPTURE,8893
TENOSYNOVITIS,2234
CHRONIC LYMPHOCYTIC LEUKAEMIA,3943
BONE MARROW FAILURE,16132
HAEMATOMA,20216
HYPERSENSITIVITY,156154
LEUKOPENIA,39297
LIP SWELLING,26974
MOUTH HAEMORRHAGE,5856
NEUTROPENIA,115707
PERIORBITAL OEDEMA,3959
PURPURA,6111
RASH MACULO-PAPULAR,17552
RASH PRURITIC,44711
SKIN HAEMORRHAGE,13182
THROMBOCYTOPENIA,88019
DRUG INEFFECTIVE,1164923
ULCER HAEMORRHAGE,5556
HENOCH-SCHONLEIN PURPURA,1635
IRON DEFICIENCY ANAEMIA,7481
ABSCESS JAW,725
CELLULITIS,40821
FEBRILE INFECTION,991
LEUKOCYTOSIS,13495
DEATH,749389
INTRACRANIAL HAEMATOMA,454
ABDOMINAL DISCOMFORT,148835
ABSCESS INTESTINAL,1753
EATING DISORDER,17604
LARGE INTESTINE PERFORATION,5401
FEELING ABNORMAL,195920
OEDEMA PERIPHERAL,75590
OSTEOARTHRITIS,35514
SKIN DISCOLOURATION,38372
BLAST CRISIS IN MYELOGENOUS LEUKAEMIA,988
BRONCHOPNEUMONIA,1197
PANCYTOPENIA,43472
VENTRICULAR TACHYCARDIA,11535
DIABETES MELLITUS,54423
ERYTHEMA MULTIFORME,6718
SUDDEN DEATH,6496
BRADYCARDIA,40097
HYPOTENSION,159940
PULMONARY OEDEMA,34450
CUTANEOUS LUPUS ERYTHEMATOSUS,1279
DUODENAL ULCER HAEMORRHAGE,2086
DUODENITIS,2198
GASTRIC ULCER,14284
HIATUS HERNIA,9736
OESOPHAGITIS,7767
RENAL FAILURE ACUTE,13233
GASTROINTESTINAL HAEMORRHAGE,68654
HYPOVOLAEMIA,3967
IMMUNOSUPPRESSANT DRUG LEVEL INCREASED,2825
OFF LABEL USE,842480
LOCAL SWELLING,14597
OEDEMA MOUTH,1286
FIBROMYALGIA,20642
HYPERSOMNIA,23454
STEVENS-JOHNSON SYNDROME,13730
VOCAL CORD DISORDER,1524
ADRENAL MASS,651
ARTERIOSCLEROSIS,6253
ARTHRITIS,67581
ATROPHIC VULVOVAGINITIS,542
BONE DISORDER,13116
BONE LESION,2918
BUNDLE BRANCH BLOCK RIGHT,3020
CATARACT,50794
CERUMEN IMPACTION,594
CERVICAL SPINAL STENOSIS,1368
CONTUSION,80508
CYSTITIS INTERSTITIAL,1292
CYSTOCELE,623
DEAFNESS,21796
DEHYDRATION,101986
DEVICE FAILURE,12755
DIARRHOEA,554622
DYSKINESIA,29373
DYSPHAGIA,76256
DYSPNOEA EXERTIONAL,32431
EAR PAIN,16033
ECZEMA,46538
ENTEROCELE,65
FAECAL INCONTINENCE,2153
FEMORAL NECK FRACTURE,4124
FOOT DEFORMITY,9916
FOREIGN BODY,3053
GASTROOESOPHAGEAL REFLUX DISEASE,64466
GRANULOMA,2554
GROIN PAIN,7203
HERPES ZOSTER,49105
HYPERGLYCAEMIA,26840
HYPOAESTHESIA,119958
IMMUNOSUPPRESSION,7655
INCREASED VENTRICULAR AFTERLOAD,8
INJURY,51920
INSOMNIA,210662
JOINT DISLOCATION,8625
JOINT EFFUSION,5583
LOSS OF CONSCIOUSNESS,94144
MACULAR DEGENERATION,9645
MANDIBULAR PROSTHESIS USER,6
MOUTH CYST,138
