quarter,n_reports,n_target_reports
2012Q4,218820,986
2013Q1,215408,1363
2013Q2,164973,846
2013Q3,177782,815
2013Q4,219089,1030
2014Q1,235677,1690
2014Q2,186663,908
2014Q3,197226,779
2014Q4,195190,824
2015Q1,298583,1683
2015Q2,264561,1182
2015Q3,373564,1540
2015Q4,286662,1378
2016Q1,335547,1504
2016Q2,269557,1485
2016Q3,269509,1815
2016Q4,268097,1620
2017Q1,304723,1514
2017Q2,299052,1317
2017Q3,306120,1310
2017Q4,292422,1472
2018Q1,354217,1551
2018Q2,370581,1449
2018Q3,347663,1609
2018Q4,336355,1695
2019Q1,339561,1819
2019Q2,355914,1965
2019Q3,372376,2298
2019Q4,350990,3757
2020Q1,383364,2935
2020Q2,351003,1722
2020Q3,350462,2064
2020Q4,348751,1828
2021Q1,383215,1813
2021Q2,398098,1670
2021Q3,425990,1540
2021Q4,366969,1446
2022Q1,394766,1635
2022Q2,359164,1311
2022Q3,381609,1462
2022Q4,401357,1502
2023Q1,356443,1503
2023Q2,345876,1501
2023Q3,349347,1504
2023Q4,341467,4722
2024Q1,337114,1413
2024Q2,331554,1367
2024Q3,345423,1398
2024Q4,336324,1273
2025Q1,327133,1475
2025Q2,328541,1356
2025Q3,393230,1745
2025Q4,347457,1501
2026Q1,370543,1718
2026Q2,422458,1780
