drug_group,route_std,n_reports
cinnarizine,Unknown/Missing,764
cinnarizine,Oral,212
cinnarizine,Other,59
cinnarizine,Transdermal,3
dimenhydrinate,Unknown/Missing,7165
dimenhydrinate,Oral,1717
dimenhydrinate,Parenteral,865
dimenhydrinate,Other,356
dimenhydrinate,Transdermal,46
meclizine,Unknown/Missing,14965
meclizine,Oral,2592
meclizine,Other,798
meclizine,Transdermal,28
meclizine,Parenteral,1
promethazine,Unknown/Missing,40117
promethazine,Oral,9033
promethazine,Other,2744
promethazine,Parenteral,1279
promethazine,Transdermal,129
scopolamine,Unknown/Missing,5086
scopolamine,Transdermal,1751
scopolamine,Oral,510
scopolamine,Other,395
scopolamine,Parenteral,141
