pt,a,b,c,d,ROR,se_ln_ror,ROR_lcl,ROR_ucl,PRR,se_ln_prr,PRR_lcl,PRR_ucl,chisq,n,IC,IC025,sig_ROR,sig_PRR,sig_BCPNN,signal,sens_trio,drug
OFF LABEL USE,863,7020,841617,16835040,2.45908384601401,0.0360894206500951,2.29114936045886,2.63932743368418,2.2993490548038,0.0321407048858278,2.1589678961636,2.44885812578404,664.677561145885,17684540,1.20039013480045,1.19960541055536,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
NAUSEA,775,7108,638816,17037841,2.90799100817344,0.0378501416097222,2.7000659267082,3.13192786145309,2.72041102195824,0.0341317469036453,2.54437427663326,2.90862716085326,873.78203615747,17684540,1.44271868562905,1.44193396138396,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
VOMITING,570,7313,373862,17302795,3.60731626263988,0.043518517088763,3.31238271809583,3.92851059982185,3.41878774942096,0.0403751027085107,3.15866928857665,3.70032713391712,995.017215213798,17684540,1.77193019568757,1.77114547144247,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
HEADACHE,496,7387,518756,17157901,2.22082635291484,0.0464056888266588,2.02774473515178,2.43229317985722,2.14401170480552,0.0434872957410789,1.96883816118191,2.33477097354899,311.632747367299,17684540,1.09957726604189,1.09879254179679,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
DIZZINESS,490,7393,398276,17278381,2.87537361572813,0.046675990730443,2.62399424344715,3.1508352012099,2.75880212369378,0.0437768810930914,2.53196045335347,3.00596683791679,561.410386270186,17684540,1.46291135613859,1.46212663189349,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
DRUG INEFFECTIVE,440,7443,1164483,16512174,0.838254244512229,0.0490713868896642,0.761386817707474,0.922881986003512,0.847282296321771,0.046332215498357,0.773729853656832,0.927826794154815,12.9608367712267,17684540,-0.238987155442112,-0.239771879687209,FALSE,FALSE,FALSE,FALSE,FALSE,scopolamine
DEATH,397,7486,748992,16927665,1.1985621552738,0.0515157119525608,1.08345156539714,1.32590259309654,1.18856225984773,0.0489215186341269,1.07988895364942,1.30817177151434,12.3951754625705,17684540,0.249096219655782,0.248311495410685,TRUE,FALSE,TRUE,TRUE,FALSE,scopolamine
DIARRHOEA,347,7536,554275,17122382,1.42241877575582,0.0549217928761997,1.27725350283428,1.58408269707851,1.40382441888823,0.052504635119728,1.26654301704469,1.55598583904816,41.5880461811718,17684540,0.489102831734148,0.488318107489051,TRUE,FALSE,TRUE,TRUE,FALSE,scopolamine
MALAISE,333,7550,374635,17302022,2.03697544232236,0.0560194644350771,1.82516050492768,2.27337209052131,1.99317069510768,0.0536540812783222,1.79420977022435,2.21419450822591,168.2167018886,17684540,0.994426710248547,0.99364198600345,TRUE,FALSE,TRUE,TRUE,FALSE,scopolamine
FATIGUE,331,7552,674231,17002426,1.1052695082796,0.056170323809154,0.990045249295258,1.23390389156679,1.10084933737505,0.0538118888120325,0.990654646482305,1.22330144809021,3.17777443300389,17684540,0.138552180841553,0.137767456596456,FALSE,FALSE,TRUE,FALSE,FALSE,scopolamine
PRODUCT ADHESION ISSUE,277,7606,33138,17643519,19.3902033587081,0.0614151200336018,17.1911432134551,21.8705633257585,18.7439917222293,0.0592737151659685,16.6881148071473,21.0531404980823,4623.02820429179,17684540,4.21699021030547,4.21620548606037,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
VISION BLURRED,275,7608,108192,17568465,5.86949664333742,0.0614581481412551,5.20339298072352,6.62087045390889,5.69962329855526,0.0593185859069164,5.07403143418288,6.40234617518987,1069.50317360101,17684540,2.50784744808062,2.50706272383552,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
PNEUMONIA,272,7611,272961,17403696,2.27859988002895,0.0617379976490719,2.01890380079369,2.57170124263811,2.23448226397315,0.0596089111234728,1.98809339438874,2.51140665831028,188.231171930216,17684540,1.15914692765994,1.15836220341484,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
CONFUSIONAL STATE,256,7627,125334,17551323,4.70031730964175,0.0636034496499628,4.14941457411276,5.32436140489575,4.58014970450814,0.0615411801238101,4.05970768041224,5.1673107935633,720.065049290145,17684540,2.19309422815416,2.19230950390907,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
HYPERSENSITIVITY,254,7629,155900,17520757,3.74173350549299,0.0638322653186126,3.30170092717365,4.24041121074941,3.65339146434175,0.0617779120096111,3.23675471595495,4.12365791140503,493.043233855901,17684540,1.86753098479771,1.86674626055261,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
PRODUCT USE IN UNAPPROVED INDICATION,251,7632,240825,17435832,2.38109359402003,0.064181778914747,2.0996351441663,2.70028186527353,2.3371186489358,0.0621393941707115,2.0691245838122,2.63982344124487,194.465013931267,17684540,1.2238713450003,1.2230866207552,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
DYSPNOEA,238,7645,463201,17213456,1.15690594489666,0.0658384545967753,1.0168461035505,1.31625755427873,1.15216871099011,0.0638508240535767,1.01663523686884,1.30577092986977,4.90932029388897,17684540,0.204254129758573,0.203469405513477,TRUE,FALSE,TRUE,TRUE,FALSE,scopolamine
PAIN,227,7656,525688,17150969,0.96735199352109,0.0673636654904499,0.847702416756431,1.1038895971888,0.968292130203916,0.0654238242745378,0.851758583153113,1.10076924137822,0.242816043166701,17684540,-0.046465334701498,-0.0472500589465946,FALSE,FALSE,FALSE,FALSE,FALSE,scopolamine
PYREXIA,220,7663,275051,17401606,1.81635175690547,0.068407930060092,1.58843684648765,2.07696875837944,1.79356888407543,0.0664994616888179,1.57439091991304,2.04325958771491,78.4042998480748,17684540,0.842322908113207,0.84153818386811,TRUE,FALSE,TRUE,TRUE,FALSE,scopolamine
FALL,205,7678,272926,17403731,1.70256305473702,0.0707955682712691,1.48197473837877,1.9559854026436,1.68429267211351,0.0689550646971554,1.47136975007618,1.92802781570602,57.8434044820667,17684540,0.751702855724474,0.750918131479377,TRUE,FALSE,TRUE,TRUE,FALSE,scopolamine
PRODUCT QUALITY ISSUE,205,7678,111758,17564899,4.1963604869527,0.0708328727928939,3.65240249260874,4.82133099298163,4.11323808433627,0.0689933682019508,3.59298585645533,4.70882107928071,485.240553011892,17684540,2.03827387413249,2.03748914988739,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
DRUG INEFFECTIVE FOR UNAPPROVED INDICATION,204,7679,52895,17623762,8.85134966713892,0.0710714302249465,7.70038208388827,10.1743511005625,8.64816872941263,0.0692383877120251,7.55070058017859,9.9051500689518,1378.65364353368,17684540,3.10748456903939,3.10669984479429,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
DRY MOUTH,203,7680,65101,17611556,7.15063954310738,0.0712161093837926,6.21905661044814,8.22176884345267,6.99225062680003,0.0693870109717788,6.10314334551651,8.01088325475792,1043.07025652882,17684540,2.80190847320714,2.80112374896205,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
DRUG INTOLERANCE,201,7682,89875,17586782,5.11999139943491,0.0715295899429702,4.4502254729086,5.89055815033887,5.01494024235177,0.069708960061454,4.37449875884942,5.74914453535564,647.941809361688,17684540,2.32365284646139,2.32286812221629,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
SWELLING FACE,201,7682,50893,17625764,9.06174117146186,0.0715891375463606,7.87542045407368,10.4267643280038,8.85618364571483,0.0697700624611156,7.72426451345451,10.153975000469,1399.32122476858,17684540,3.14164172508316,3.14085700083807,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
DYSPHONIA,199,7684,49009,17627648,9.31502980430806,0.0719425279269347,8.0899443235568,10.7256337973162,9.10512355908958,0.0701328611545472,7.93574212948552,10.4468206846412,1433.95910924996,17684540,3.18147565793284,3.18069093368774,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
WRONG TECHNIQUE IN PRODUCT USAGE PROCESS,193,7690,199122,17477535,2.20288539706215,0.0729140962026857,1.90952862155729,2.54130994309587,2.1734350759112,0.0711298626957147,1.89060024644262,2.49858215034591,123.546536053106,17684540,1.11922257256738,1.11843784832228,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
CONSTIPATION,190,7693,184162,17492495,2.34590058852002,0.0734753929217784,2.03126266940471,2.70927519818566,2.31346102086572,0.0717054814268046,2.01013510668948,2.6625582913576,143.030617920981,17684540,1.20920836384452,1.20842363959942,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
MYDRIASIS,186,7697,9151,17667506,46.6549952753058,0.0749373011925343,40.2819263657459,54.0363577544736,45.5777620999656,0.0732032098384993,39.4858205103668,52.6095791144993,7952.19507535045,17684540,5.48187174135179,5.48108701710669,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
SOMNOLENCE,185,7698,160496,17516161,2.62282030359691,0.0744419038684051,2.26674313502814,3.03483276894309,2.58473559521616,0.0726961089766781,2.24148556539682,2.98054923944814,181.189461878323,17684540,1.36899793891963,1.36821321467453,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
ABDOMINAL PAIN,181,7702,185751,17490906,2.21287155314978,0.0752338953414388,1.90948311030858,2.56446390350537,2.18502304989973,0.0735073710563627,1.89184384028227,2.52363626792833,117.447407021068,17684540,1.12688662263926,1.12610189839416,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
ANGIOEDEMA,179,7704,35805,17640852,11.4475522701932,0.0757916923248103,9.86727982011276,13.2809097712715,11.2103187478839,0.0740784004216131,9.695297809802,12.9620821241924,1659.71110733919,17684540,3.48020412947924,3.47941940523414,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
TOXICITY TO VARIOUS AGENTS,178,7705,156879,17519778,2.57994914666974,0.075856409084795,2.2235191118903,2.99351490338362,2.5442735221477,0.0741447235992942,2.20014110734848,2.94223299309347,168.145938744444,17684540,1.34626100946164,1.34547628521654,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
ANXIETY,174,7709,225318,17451339,1.74817163757283,0.0766898977808331,1.50419558996805,2.03171987392874,1.73165738348965,0.0749976851554543,1.49493617276763,2.00586309196248,54.4428380274713,17684540,0.791683068917677,0.79089834467258,TRUE,FALSE,TRUE,TRUE,FALSE,scopolamine
SWOLLEN TONGUE,174,7709,23093,17653564,17.2545343495016,0.0769428668484611,14.8391202072076,20.0631136793084,16.8957510212238,0.0752563470566422,14.5786733480697,19.5810960130321,2586.10158412019,17684540,4.06840220974297,4.06761748549788,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
ASTHENIA,172,7711,304871,17371786,1.2710016057309,0.0771166388958223,1.09270540421954,1.47839031044635,1.26508859340238,0.0754342212412524,1.09121426458423,1.46666809727475,9.71630647531899,17684540,0.339067953568965,0.338283229323868,TRUE,FALSE,TRUE,TRUE,FALSE,scopolamine
HALLUCINATION,162,7721,58803,17617854,6.28629829784951,0.0794947740659846,5.3793235625415,7.34619247756781,6.1776619507416,0.0778648419462273,5.30327622134248,7.19621335657673,703.418705924822,17684540,2.62373505684481,2.62295033259972,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
