pt,a,b,c,d,ROR,se_ln_ror,ROR_lcl,ROR_ucl,PRR,se_ln_prr,PRR_lcl,PRR_ucl,chisq,n,IC,IC025,sig_ROR,sig_PRR,sig_BCPNN,signal,sens_trio,drug
NAUSEA,126,428,639465,17044521,7.84684000958453,0.101363598060466,6.43298237086103,9.57143896661654,6.28961646949852,0.0783132239394567,5.39464165754696,7.33306822669948,581.443133797684,17684540,2.65273300211695,2.65194827787185,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
DIZZINESS,116,438,398650,17285336,11.4833852837802,0.104433524294559,9.35781221215288,14.0917700191168,9.28830822075045,0.0825717107808955,7.90041962815092,10.9200110455212,877.46891519103,17684540,3.21504130541317,3.21425658116808,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
VISION BLURRED,97,457,108370,17575616,34.4236578267702,0.111833566968924,27.6479135073708,42.8599509998701,28.5715011314693,0.0922680621698614,23.8447568654064,34.2352275392614,2594.43541724498,17684540,4.83525937500531,4.83447465076021,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
DRY MOUTH,86,468,65218,17618768,49.64330176793,0.11738845369702,39.4400620551466,62.4861443416558,42.0921755007062,0.0991873452966969,34.6554386024699,51.1247674197948,3458.19704364995,17684540,5.39362420387365,5.39283947962855,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
DRUG INEFFECTIVE,65,489,1164858,16519128,1.88503157503271,0.132024710449545,1.45524771786324,2.44174513744486,1.78119213030865,0.116534815220133,1.41747148274979,2.23824284557653,23.8389909269374,17684540,0.832807837211264,0.832023112966167,TRUE,FALSE,TRUE,TRUE,FALSE,scopolamine [晕动症适应证]
VOMITING,63,491,374369,17309617,5.93262143492513,0.133837232052633,4.56375250888917,7.71207400523565,5.37169156055639,0.118619460184217,4.25735773958152,6.77769452012015,228.954624526927,17684540,2.42517890328496,2.42439417903986,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
HEADACHE,61,493,519191,17164795,4.09066939190302,0.135734389603747,3.13512554188539,5.33745007984244,3.75036102925666,0.12079014031136,2.95974594365593,4.75216728649132,126.744119904816,17684540,1.90690518636748,1.90612046212238,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
PRODUCT ADHESION ISSUE,57,497,33358,17650628,60.6846182919207,0.139949871580342,46.1265410569095,79.8373954095672,54.5437821138711,0.125573591035604,42.643697151234,69.7646866015078,2996.59197530747,17684540,5.7669249515706,5.7661402273255,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
MYDRIASIS,52,502,9285,17674701,197.18314721727,0.146049848591759,148.098156706195,262.536647391515,178.768844590378,0.132413591157256,137.904713065633,231.741896892014,9145.9056409989,17684540,7.47393954153443,7.47315481728934,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
MALAISE,51,503,374917,17309069,4.68102291332331,0.146964756788944,3.50947247430842,6.24366644145735,4.34215618303542,0.133436875316806,3.34288686827088,5.64013113839692,134.019064740718,17684540,2.11826057829836,2.11747585405326,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
PRODUCT QUALITY ISSUE,50,504,111913,17572073,15.576932173362,0.148300773447127,11.6478498074992,20.8313826108318,14.2613245764882,0.134921550585684,10.947433651594,18.5783613903275,620.223579951337,17684540,3.83343685755135,3.83265213330625,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
CONFUSIONAL STATE,42,512,125548,17558438,11.4724298052339,0.160532460403753,8.37543591871851,15.7146024294526,10.6784910835374,0.148365690746368,7.98396204707206,14.2824040431162,370.940859077354,17684540,3.4161985440825,3.41541381983741,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
FEELING ABNORMAL,41,513,195879,17488107,7.13545078804916,0.162310578877162,5.19110557206737,9.80805673123586,6.68138313044985,0.15030049366176,4.97654588996657,8.97025397190896,200.250204260222,17684540,2.73989004230913,2.73910531806403,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
WRONG TECHNIQUE IN PRODUCT USAGE PROCESS,38,516,199277,17484709,6.46152646079142,0.168103686167844,4.64774594578997,8.98313390845447,6.08690912232558,0.156574892349638,4.47834532273751,8.27324826322288,163.355767315145,17684540,2.60547994189247,2.60469521764737,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
VERTIGO,34,520,49683,17634303,23.2073771557831,0.177073504358098,16.4020469396994,32.8362890577505,21.8444695325039,0.166213060903655,15.7709585063416,30.2569339057367,677.711208839478,17684540,4.44825440825701,4.44746968401191,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
FATIGUE,31,523,674531,17009455,1.49468091721023,0.184855759195147,1.04038981260235,2.14734036916824,1.46700021606669,0.174511994796117,1.04203563004233,2.06527451835048,4.79110552089832,17684540,0.552847977570791,0.552063253325694,TRUE,FALSE,TRUE,TRUE,FALSE,scopolamine [晕动症适应证]
HALLUCINATION,30,524,58935,17625051,17.1217070559686,0.187773147343423,11.8498085124396,24.7390371078709,16.2486904283891,0.177609657618339,11.4718635266516,23.0145642880295,430.524076969728,17684540,4.02156254271829,4.02077781847319,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
SOMNOLENCE,27,527,160654,17523332,5.58828175978695,0.197334365653232,3.79580498547525,8.22721218457367,5.36466513972513,0.187718275333539,3.71324493084243,7.75053426245511,96.7417724908418,17684540,2.42329087371637,2.42250614947127,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
WITHDRAWAL SYNDROME,27,527,35818,17648168,25.2436090829423,0.197389325522987,17.1447146087412,37.1682943737955,24.0620613478531,0.187776050817248,16.6530823027314,34.7673052821508,597.559421107874,17684540,4.58764642155957,4.58686169731447,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
OFF LABEL USE,26,528,842454,16841532,0.984407295396976,0.200889831103839,0.664008971403246,1.45940456374089,0.985139082977623,0.191461784098047,0.676896063059476,1.43374893986452,0.00612001056536732,17684540,-0.0216000030878305,-0.0223847273329271,FALSE,FALSE,FALSE,FALSE,FALSE,scopolamine [晕动症适应证]
DISORIENTATION,24,530,27876,17656110,28.6813733055012,0.208780719678918,19.0494396748933,43.1834840671827,27.4821802381149,0.199743408199714,18.5791637299917,40.6514653520721,612.885702557968,17684540,4.77922819025963,4.77844346601453,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
VISUAL IMPAIRMENT,24,530,109679,17574307,7.25588011808731,0.208716634546469,4.81977664222875,10.9232854955929,6.98486726098605,0.199676421949023,4.72269779036062,10.3306145807542,123.813947267269,17684540,2.80396223839535,2.80317751415025,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
BALANCE DISORDER,23,531,70318,17613668,10.8496720494237,0.213015910027507,7.14650674379179,16.4717375635734,10.4407506466498,0.204174854669764,6.99736581253568,15.5786158657347,197.059786155367,17684540,3.38372692252486,3.38294219827976,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
ASTHENIA,22,532,305021,17378965,2.35616237491648,0.217572012690709,1.53816944648881,3.60916097354847,2.30230755136384,0.208932317312038,1.52867991336268,3.46744927746649,16.4896600523473,17684540,1.20302171065374,1.20223698640865,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
AMNESIA,20,534,47782,17636204,13.8238664145228,0.227801765271139,8.84546668486459,21.6042057988369,13.3609109482945,0.219581004832184,8.68810267429555,20.5469419573509,229.239072323373,17684540,3.73938792572783,3.73860320148274,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
APPLICATION SITE PRURITUS,20,534,18885,17665101,35.03385065729,0.227872042741512,22.4139952554856,54.7591216062612,33.8051917887958,0.219653912731842,21.9791158938685,51.9944022041427,636.70253042878,17684540,5.07769105715515,5.07690633291005,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
DECREASED APPETITE,18,536,200751,17483235,2.92463580969876,0.23963778018133,1.82847066316782,4.6779501534651,2.86210251624284,0.231852164429902,1.81689001775213,4.508600263883,22.0553631585364,17684540,1.51699119287757,1.51620646863247,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
MOTION SICKNESS,17,537,1533,17682453,365.153101050629,0.247665296476387,224.728439895478,593.324045985931,353.978727913697,0.240147318187424,221.085184403715,566.754123092172,5918.57761837692,17684540,8.45165353223112,8.45086880798603,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
TREMOR,17,537,126771,17557215,4.38440179536329,0.246360857282064,2.70522723840852,7.10586483466495,4.28054831066803,0.238801815217613,2.68057025480326,6.83552084006385,43.0436425508152,17684540,2.09764735159325,2.09686262734815,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
ANXIETY,16,538,225476,17458510,2.30273817749361,0.253699090262383,1.40052716178326,3.78614800111046,2.26511397020138,0.246372328725982,1.39757041521496,3.67118625447741,11.4506889865971,17684540,1.17952646621853,1.17874174197343,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
APPLICATION SITE ERYTHEMA,16,538,21455,17662531,24.4828586502917,0.253782193738087,14.8880685845599,40.2611234819134,23.8046533463121,0.24645790407704,14.6849562927641,38.5878929185037,349.710699708827,17684540,4.57214142610449,4.57135670185939,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
DRUG WITHDRAWAL SYNDROME,16,538,69775,17614211,7.50759880071233,0.253718593352054,4.56595292468755,12.3444198138145,7.31965370899501,0.246392412790577,4.51603271394524,11.8638047625653,87.6261524514202,17684540,2.87148980800233,2.87070508375723,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
AGITATION,13,541,52762,17631224,8.02984756084958,0.280696482896575,4.63205418232901,13.9200556194837,7.86488723902459,0.274111143986333,4.59583453387054,13.4592424567725,78.1103626906796,17684540,2.97511585616159,2.9743311319165,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
APPLICATION SITE IRRITATION,13,541,9967,17674019,42.6105310185349,0.28084140263038,24.5730983259957,73.8880107666667,41.6341106155729,0.27425954370946,24.3217519598981,71.2695026907522,515.174847510566,17684540,5.37785880905885,5.37707408481376,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
SPEECH DISORDER,13,541,40673,17643313,10.4236547718645,0.280706517153021,6.01281453194294,18.0701696727546,10.2025220786619,0.274121419371107,5.96170772080926,17.46000670282,108.121252848217,17684540,3.35043807935013,3.34965335510503,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
CONDITION AGGRAVATED,12,542,262803,17421183,1.46767292880404,0.291859922422558,0.828310377219525,2.60055153863336,1.45754282926315,0.285538137146288,0.832849167560452,2.55079933063899,1.74946883745607,17684540,0.543517598509084,0.542732874263987,FALSE,FALSE,TRUE,FALSE,FALSE,scopolamine [晕动症适应证]
RASH,12,542,369869,17314117,1.03641663335894,0.29185803603773,0.58492448129443,1.83640704442047,1.03562782541615,0.285536208375254,0.591766509813111,1.81241245489695,0.0150217974341233,17684540,0.0505040232362226,0.0497192989911259,FALSE,FALSE,TRUE,FALSE,FALSE,scopolamine [晕动症适应证]
DEHYDRATION,11,543,101975,17582011,3.49275150943814,0.30456620747653,1.92271847504667,6.3448254463703,3.44325644336626,0.298519323552445,1.91807060957956,6.18121922914095,19.1790188050922,17684540,1.78366321370314,1.78287848945804,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
GAIT DISTURBANCE,11,543,161141,17522845,2.20288294468396,0.304560296737574,1.21267510548494,4.00164334703559,2.17899898729854,0.298513292759985,1.21382864963286,3.91162013525072,7.08122780673639,17684540,1.12361224206066,1.12282751781557,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
MIGRAINE,11,543,81212,17602774,4.39090218729526,0.304570323235347,2.41712032208794,7.97644281180836,4.32357380451503,0.298523522792331,2.40843275094569,7.761599503141,28.2293514383395,17684540,2.11207411553642,2.11128939129133,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine [晕动症适应证]
PAIN,11,543,525904,17158082,0.660929475494187,0.304553232300264,0.363843127085087,1.20059371487005,0.667661922731667,0.298506083182325,0.371931619448828,1.19853333181606,1.87541974152376,17684540,-0.582795310205535,-0.583580034450632,FALSE,FALSE,FALSE,FALSE,FALSE,scopolamine [晕动症适应证]
