Preferred term (PT),Cases (a),ROR,ROR 95% LCL,ROR 95% UCL,PRR,IC025,Replicated in Canada Vigilance
NAUSEA,775,2.91,2.7,3.13,2.72,1.44,Yes
VOMITING,570,3.61,3.31,3.93,3.42,1.77,Yes
HEADACHE,496,2.22,2.03,2.43,2.14,1.1,Yes
DIZZINESS,490,2.88,2.62,3.15,2.76,1.46,Yes
DEATH,397,1.2,1.08,1.33,1.19,0.25,Not evaluable
DIARRHOEA,347,1.42,1.28,1.58,1.4,0.49,Not evaluable
MALAISE,333,2.04,1.83,2.27,1.99,0.99,Not evaluable
PRODUCT ADHESION ISSUE,277,19.39,17.19,21.87,18.74,4.22,Not evaluable
VISION BLURRED,275,5.87,5.2,6.62,5.7,2.51,Yes
PNEUMONIA,272,2.28,2.02,2.57,2.23,1.16,Not evaluable
CONFUSIONAL STATE,256,4.7,4.15,5.32,4.58,2.19,Yes
HYPERSENSITIVITY,254,3.74,3.3,4.24,3.65,1.87,Yes
DYSPNOEA,238,1.16,1.02,1.32,1.15,0.2,Not evaluable
PYREXIA,220,1.82,1.59,2.08,1.79,0.84,Not evaluable
FALL,205,1.7,1.48,1.96,1.68,0.75,Not evaluable
PRODUCT QUALITY ISSUE,205,4.2,3.65,4.82,4.11,2.04,Not evaluable
DRY MOUTH,203,7.15,6.22,8.22,6.99,2.8,Yes
DRUG INTOLERANCE,201,5.12,4.45,5.89,5.01,2.32,Yes
SWELLING FACE,201,9.06,7.88,10.43,8.86,3.14,Yes
DYSPHONIA,199,9.32,8.09,10.73,9.11,3.18,Yes
WRONG TECHNIQUE IN PRODUCT USAGE PROCESS,193,2.2,1.91,2.54,2.17,1.12,Not evaluable
CONSTIPATION,190,2.35,2.03,2.71,2.31,1.21,Not evaluable
MYDRIASIS,186,46.65,40.28,54.04,45.58,5.48,Yes
SOMNOLENCE,185,2.62,2.27,3.03,2.58,1.37,Not evaluable
ABDOMINAL PAIN,181,2.21,1.91,2.56,2.19,1.13,Directional
