pt,faers_a,faers_ror,faers_lcl,faers_signal,faers_trio,canada_a,canada_n_pt_all,canada_ror,canada_lcl,verdict
NAUSEA,775,2.90799100817344,2.7000659267082,TRUE,TRUE,15,63311,2.60922227839569,1.51578924864776,replicated
VOMITING,570,3.60731626263988,3.31238271809583,TRUE,TRUE,10,38452,2.78858159945252,1.45722279981784,replicated
HEADACHE,496,2.22082635291484,2.02774473515178,TRUE,TRUE,16,48913,3.68758819559482,2.1736474588209,replicated
DIZZINESS,490,2.87537361572813,2.62399424344715,TRUE,TRUE,13,40102,3.57418777872699,2.00595429264235,replicated
DEATH,397,1.1985621552738,1.08345156539714,TRUE,FALSE,0,45306,,,insufficient (a=0)
DIARRHOEA,347,1.42241877575582,1.27725350283428,TRUE,FALSE,2,47238,0.418140522361879,0.103289768564658,discordant
MALAISE,333,2.03697544232236,1.82516050492768,TRUE,FALSE,2,34679,0.57604618540902,0.142294391838275,discordant
PRODUCT ADHESION ISSUE,277,19.3902033587081,17.1911432134551,TRUE,TRUE,0,,,,insufficient (a=0)
VISION BLURRED,275,5.86949664333742,5.20339298072352,TRUE,TRUE,6,7945,8.01506626919147,3.52166426782792,replicated
PNEUMONIA,272,2.27859988002895,2.01890380079369,TRUE,TRUE,0,40190,,,insufficient (a=0)
CONFUSIONAL STATE,256,4.70031730964175,4.14941457411276,TRUE,TRUE,11,11673,10.4547555499315,5.61292086862635,replicated
HYPERSENSITIVITY,254,3.74173350549299,3.30170092717365,TRUE,TRUE,13,14102,10.4075625321067,5.84018029310226,replicated
DYSPNOEA,238,1.15690594489666,1.0168461035505,TRUE,FALSE,1,50319,0.193985719848313,0.0270885413108158,discordant
PYREXIA,220,1.81635175690547,1.58843684648765,TRUE,FALSE,3,37296,0.808799709531751,0.256905506790111,discordant
FALL,205,1.70256305473702,1.48197473837877,TRUE,FALSE,1,21303,0.470272848201548,0.0656680776195464,discordant
PRODUCT QUALITY ISSUE,205,4.1963604869527,3.65240249260874,TRUE,TRUE,0,3069,,,insufficient (a=0)
DRY MOUTH,203,7.15063954310738,6.21905661044814,TRUE,TRUE,3,6176,5.02246049710816,1.59496315736128,replicated
DRUG INTOLERANCE,201,5.11999139943491,4.4502254729086,TRUE,TRUE,13,16333,8.96721753057659,5.03209623097347,replicated
SWELLING FACE,201,9.06174117146186,7.87542045407368,TRUE,TRUE,14,4569,35.3074467618002,20.1668042046148,replicated
DYSPHONIA,199,9.31502980430806,8.0899443235568,TRUE,TRUE,15,3852,45.3902196318146,26.3459807226224,replicated
WRONG TECHNIQUE IN PRODUCT USAGE PROCESS,193,2.20288539706215,1.90952862155729,TRUE,TRUE,0,,,,insufficient (a=0)
CONSTIPATION,190,2.34590058852002,2.03126266940471,TRUE,TRUE,1,13366,0.754806670440889,0.105397016477512,discordant
MYDRIASIS,186,46.6549952753058,40.2819263657459,TRUE,TRUE,3,740,42.2667131174594,13.3956692595298,replicated
SOMNOLENCE,185,2.62282030359691,2.26674313502814,TRUE,TRUE,1,14012,0.719597054905659,0.100480879226785,discordant
ABDOMINAL PAIN,181,2.21287155314978,1.90948311030858,TRUE,TRUE,5,31095,1.65577001956439,0.675554129507527,direction-consistent
ANGIOEDEMA,179,11.4475522701932,9.86727982011276,TRUE,TRUE,13,4173,35.5553217821782,19.9405611991484,replicated
TOXICITY TO VARIOUS AGENTS,178,2.57994914666974,2.2235191118903,TRUE,TRUE,4,5055,8.26664026925361,3.04708780457453,replicated
ANXIETY,174,1.74817163757283,1.50419558996805,TRUE,FALSE,3,16965,1.81063872503561,0.575096686285967,direction-consistent
SWOLLEN TONGUE,174,17.2545343495016,14.8391202072076,TRUE,TRUE,13,2728,54.5473770581478,30.5789214925438,replicated
ASTHENIA,172,1.2710016057309,1.09270540421954,TRUE,FALSE,3,29186,1.04107722841232,0.330681545337928,direction-consistent
HALLUCINATION,162,6.28629829784951,5.3793235625415,TRUE,TRUE,8,4093,21.2322671531835,10.3421427829223,replicated
WEIGHT DECREASED,162,1.60568703942624,1.37423555818089,TRUE,FALSE,2,25020,0.805341582631934,0.198931686764223,discordant
URINARY TRACT INFECTION,154,2.4099913379924,2.05449973721923,TRUE,TRUE,2,11626,1.75388973552256,0.433210184109446,direction-consistent
ACUTE KIDNEY INJURY,151,2.27942845358812,1.94020213149726,TRUE,TRUE,0,5342,,,insufficient (a=0)
HYPOTENSION,148,2.09750375876487,1.7825204560652,TRUE,TRUE,3,15296,2.01119219003218,0.638789774646153,direction-consistent
FEELING ABNORMAL,146,1.68495617952113,1.43038678386326,TRUE,FALSE,1,10476,0.965495596341901,0.134813734434193,discordant
DECREASED APPETITE,145,1.63229724616137,1.38491994712366,TRUE,FALSE,2,16759,1.2111686800399,0.299169090580907,direction-consistent
COUGH,144,1.34039259820677,1.13663011304925,TRUE,FALSE,1,29131,0.341520009478414,0.047689843202822,discordant
DEHYDRATION,142,3.16553078504056,2.68109477978953,TRUE,TRUE,2,6982,2.93268522308637,0.724315335414532,direction-consistent
SEIZURE,142,2.84830862411187,2.41244590512401,TRUE,TRUE,2,10354,1.97159279090307,0.486975696455924,direction-consistent
CONDITION AGGRAVATED,140,1.19866583412513,1.01412244837038,TRUE,FALSE,2,35595,0.560761847233204,0.138519009943772,discordant
PLATELET COUNT DECREASED,140,3.64720126062274,3.08541641757569,TRUE,TRUE,0,5016,,,insufficient (a=0)
WHITE BLOOD CELL COUNT INCREASED,130,10.4874294659169,8.81492102942693,TRUE,TRUE,0,2774,,,insufficient (a=0)
TACHYCARDIA,128,4.26165098329665,3.57809241789719,TRUE,TRUE,4,8467,4.91914537075827,1.81347805666037,replicated
THROMBOCYTOPENIA,127,3.27681497683863,2.74946586400942,TRUE,TRUE,0,5355,,,insufficient (a=0)
DRUG INTERACTION,122,2.25680272254007,1.88706235568587,TRUE,TRUE,2,8170,2.50354169581643,0.618343055527575,direction-consistent
HYPERTENSION,122,1.6266180598864,1.36015629960206,TRUE,FALSE,3,17292,1.77588155568374,0.564058136299861,direction-consistent
PRODUCT USE ISSUE,122,1.49138223101077,1.2470804212633,TRUE,FALSE,0,16167,,,insufficient (a=0)
SEPSIS,121,3.08505447871861,2.57766285772855,TRUE,TRUE,0,5239,,,insufficient (a=0)
HAEMOGLOBIN DECREASED,120,3.41661805082198,2.85255913804433,TRUE,TRUE,0,11284,,,insufficient (a=0)
WHITE BLOOD CELL COUNT DECREASED,118,2.92969754687698,2.44240785689699,TRUE,TRUE,0,5727,,,insufficient (a=0)
ANAEMIA,116,1.70084720767944,1.41583925470202,TRUE,FALSE,0,7513,,,insufficient (a=0)
NEUTROPHIL COUNT INCREASED,116,31.8230464820457,26.4589811026923,TRUE,TRUE,0,,,,insufficient (a=0)
VERTIGO,115,5.26101082069504,4.37538061688436,TRUE,TRUE,1,4139,2.45762349388572,0.343113060633733,direction-consistent
TREMOR,114,2.03296052342077,1.6896101035932,TRUE,TRUE,0,12813,,,insufficient (a=0)
NEUTROPENIA,107,2.09035642786072,1.72714091854333,TRUE,TRUE,0,8670,,,insufficient (a=0)
DRUG HYPERSENSITIVITY,106,1.33483554520494,1.10195560666674,TRUE,FALSE,1,8790,1.15240490677708,0.160909313349318,direction-consistent
CHEST PAIN,105,1.74017710008209,1.43526552152743,TRUE,FALSE,3,15891,1.93486159875888,0.614548365278277,direction-consistent
LOWER RESPIRATORY TRACT INFECTION,105,5.79635239446011,4.77991319885223,TRUE,TRUE,0,10313,,,insufficient (a=0)
AGITATION,96,4.12446362865712,3.3719236447356,TRUE,TRUE,0,5904,,,insufficient (a=0)
DYSPHAGIA,96,2.8490433312146,2.32934354895862,TRUE,TRUE,0,6196,,,insufficient (a=0)
GAIT DISTURBANCE,96,1.34075428357507,1.0962569418503,TRUE,FALSE,2,15506,1.31049590888987,0.323701627107507,direction-consistent
WITHDRAWAL SYNDROME,93,5.89068785724278,4.80019962959959,TRUE,TRUE,1,1941,5.25211203357358,0.733060609917927,direction-consistent
THERAPEUTIC RESPONSE UNEXPECTED,92,5.14391819536389,4.18721897572691,TRUE,TRUE,1,1190,8.57505749607389,1.19647885972048,replicated
APPLICATION SITE ERYTHEMA,91,9.64404622500255,7.8400549346728,TRUE,TRUE,0,554,,,insufficient (a=0)
HOSPITALISATION,90,1.41337550175373,1.14811797170142,TRUE,FALSE,0,,,,insufficient (a=0)
