pt,a,ROR,lcl,ucl,signal
NAUSEA,775,2.90799100817344,2.7000659267082,3.13192786145309,TRUE
VOMITING,570,3.60731626263988,3.31238271809583,3.92851059982185,TRUE
HEADACHE,496,2.22082635291484,2.02774473515178,2.43229317985722,TRUE
DIZZINESS,490,2.87537361572813,2.62399424344715,3.1508352012099,TRUE
DEATH,397,1.1985621552738,1.08345156539714,1.32590259309654,TRUE
DIARRHOEA,347,1.42241877575582,1.27725350283428,1.58408269707851,TRUE
MALAISE,333,2.03697544232236,1.82516050492768,2.27337209052131,TRUE
PRODUCT ADHESION ISSUE,277,19.3902033587081,17.1911432134551,21.8705633257585,TRUE
VISION BLURRED,275,5.86949664333742,5.20339298072352,6.62087045390889,TRUE
PNEUMONIA,272,2.27859988002895,2.01890380079369,2.57170124263811,TRUE
CONFUSIONAL STATE,256,4.70031730964175,4.14941457411276,5.32436140489575,TRUE
HYPERSENSITIVITY,254,3.74173350549299,3.30170092717365,4.24041121074941,TRUE
DYSPNOEA,238,1.15690594489666,1.0168461035505,1.31625755427873,TRUE
PYREXIA,220,1.81635175690547,1.58843684648765,2.07696875837944,TRUE
FALL,205,1.70256305473702,1.48197473837877,1.9559854026436,TRUE
PRODUCT QUALITY ISSUE,205,4.1963604869527,3.65240249260874,4.82133099298163,TRUE
DRY MOUTH,203,7.15063954310738,6.21905661044814,8.22176884345267,TRUE
DRUG INTOLERANCE,201,5.11999139943491,4.4502254729086,5.89055815033887,TRUE
SWELLING FACE,201,9.06174117146186,7.87542045407368,10.4267643280038,TRUE
DYSPHONIA,199,9.31502980430806,8.0899443235568,10.7256337973162,TRUE
WRONG TECHNIQUE IN PRODUCT USAGE PROCESS,193,2.20288539706215,1.90952862155729,2.54130994309587,TRUE
CONSTIPATION,190,2.34590058852002,2.03126266940471,2.70927519818566,TRUE
MYDRIASIS,186,46.6549952753058,40.2819263657459,54.0363577544736,TRUE
SOMNOLENCE,185,2.62282030359691,2.26674313502814,3.03483276894309,TRUE
ABDOMINAL PAIN,181,2.21287155314978,1.90948311030859,2.56446390350537,TRUE
ANGIOEDEMA,179,11.4475522701932,9.86727982011276,13.2809097712715,TRUE
SWOLLEN TONGUE,174,17.2545343495016,14.8391202072076,20.0631136793084,TRUE
HALLUCINATION,162,6.28629829784951,5.3793235625415,7.3461924775678,TRUE
RASH,158,0.957419498706838,0.817860829741078,1.12079227072686,FALSE
TACHYCARDIA,128,4.26165098329666,3.57809241789719,5.07579653688956,TRUE
PRURITUS,103,0.70717841888532,0.582222851327971,0.858951714101359,FALSE
AGITATION,96,4.12446362865712,3.3719236447356,5.04495416160272,TRUE
DISORIENTATION,79,6.42174656091605,5.14357197974582,8.01754676614345,TRUE
DELIRIUM,68,5.62365574347687,4.42809853901531,7.14200545504867,TRUE
AMNESIA,59,2.78444743684949,2.15493686930146,3.59785367220105,TRUE
ERYTHEMA,59,0.755063433080768,0.584424655895299,0.975524872581443,FALSE
LETHARGY,58,2.9814298554892,2.30232703469084,3.86084333340418,TRUE
URINARY RETENTION,54,4.57049972329592,3.49632477434054,5.97469316178962,TRUE
URTICARIA,45,0.739008411516082,0.551280492348786,0.990663446052055,FALSE
SWELLING,30,0.82822919081041,0.578648570487634,1.18545802667826,FALSE
SEDATION,29,3.13650687471175,2.1775967950087,4.51767535554015,TRUE
DRY EYE,27,1.38680680380211,0.950314235014934,2.02378649104587,FALSE
ANAPHYLACTIC REACTION,23,1.15230744051044,0.765195109156974,1.73525996385235,FALSE
HYPERTHERMIA,4,1.57582486576178,0.591073965055814,4.20120687826041,FALSE
ACCOMMODATION DISORDER,3,15.6865464484754,5.0381169779199,48.8412120160359,TRUE
