pt,route,n_route,a,ROR,lcl,ucl,signal
ABDOMINAL PAIN,Oral,510,17,3.24547925590764,2.00119607857124,5.26342006828584,TRUE
ABDOMINAL PAIN,Parenteral,141,6,4.18290024585648,1.84639898308042,9.47609624307515,TRUE
ABDOMINAL PAIN,Transdermal,1751,24,1.30792085130078,0.87420456307474,1.95681540170718,FALSE
AGITATION,Transdermal,1751,39,7.6156553021469,5.5438271728775,10.4617629432727,TRUE
AMNESIA,Transdermal,1751,22,4.69631509465618,3.08378826564928,7.15203949440146,TRUE
ANAPHYLACTIC REACTION,Transdermal,1751,5,1.1276254121383,0.468730278709949,2.71273081312268,FALSE
ANGIOEDEMA,Transdermal,1751,3,0.84172990614103,0.271194096241805,2.61255405154712,FALSE
CONFUSIONAL STATE,Oral,510,10,2.7963768115942,1.49529897948653,5.22953829280814,TRUE
CONFUSIONAL STATE,Transdermal,1751,91,7.66920808757944,6.20974569715818,9.47168460014568,TRUE
CONSTIPATION,Oral,510,12,2.28750828419461,1.29028762392385,4.05544783444947,TRUE
CONSTIPATION,Transdermal,1751,40,2.21950752122116,1.62214116023893,3.03685878732756,TRUE
DEATH,Oral,510,54,2.67627217185202,2.018474715532,3.54843817597279,TRUE
DEATH,Parenteral,141,9,1.54082092711793,0.784328416372482,3.02695794247123,FALSE
DEATH,Transdermal,1751,42,0.555353482124377,0.408898835894596,0.754263556248357,FALSE
DELIRIUM,Transdermal,1751,24,8.97032726784973,5.99480889361189,13.4227416954149,TRUE
DIARRHOEA,Oral,510,18,1.12997078469173,0.705980875128662,1.80859569889077,FALSE
DIARRHOEA,Parenteral,141,15,3.67694773484819,2.1527155846352,6.28041379051768,TRUE
DIARRHOEA,Transdermal,1751,64,1.17173776676198,0.91289861446117,1.50396700390079,FALSE
DISORIENTATION,Transdermal,1751,40,14.8147676681814,10.8254468178277,20.2742062065051,TRUE
DIZZINESS,Oral,510,12,1.04453541456335,0.589184446758457,1.85180419863379,FALSE
DIZZINESS,Parenteral,141,9,2.95560077942205,1.50449277295619,5.80632630767355,TRUE
DIZZINESS,Transdermal,1751,171,4.69306218789701,4.00789659615171,5.49535951616527,TRUE
DRUG INTOLERANCE,Transdermal,1751,4,0.447208651701039,0.167650614731821,1.19293077735611,FALSE
DRY EYE,Transdermal,1751,10,2.31758979122149,1.24467319494041,4.3153676500852,TRUE
DRY MOUTH,Oral,510,4,2.13290196054694,0.797389170460347,5.70520762236916,FALSE
DRY MOUTH,Transdermal,1751,99,16.1916311992741,13.2175405071469,19.8349247162548,TRUE
DYSPHONIA,Transdermal,1751,14,2.88906253434027,1.70730963399955,4.88879237902245,TRUE
DYSPNOEA,Oral,510,19,1.437956893761,0.909319909328817,2.27391923029706,FALSE
DYSPNOEA,Parenteral,141,12,3.45674914003917,1.91321830621845,6.24555733045405,TRUE
DYSPNOEA,Transdermal,1751,60,1.31852862187448,1.01919696960811,1.70577207207622,TRUE
ERYTHEMA,Transdermal,1751,13,0.749015084342826,0.434025519502822,1.29260509201336,FALSE
FALL,Oral,510,9,1.14516883442275,0.592363843173049,2.21386175818642,FALSE
FALL,Transdermal,1751,36,1.33818379180837,0.961956777977577,1.861555427078,FALSE
HALLUCINATION,Oral,510,3,1.76877214469092,0.568534810945005,5.50283789067255,FALSE
HALLUCINATION,Transdermal,1751,74,13.2054041968543,10.4611409403739,16.6695679750649,TRUE
HEADACHE,Oral,510,8,0.526808988403336,0.262006188664625,1.05924104952265,FALSE
HEADACHE,Parenteral,141,11,2.79722989161843,1.51159677923527,5.17631102027231,TRUE
HEADACHE,Transdermal,1751,87,1.72850052673339,1.39330586325323,2.14433467174364,TRUE
HYPERSENSITIVITY,Transdermal,1751,26,1.69200888308664,1.14867699042567,2.49234039186524,TRUE
LETHARGY,Oral,510,3,2.37809885156519,0.764382603602302,7.39859086426578,FALSE
LETHARGY,Transdermal,1751,14,3.23983875530221,1.91458583589319,5.482415550965,TRUE
MALAISE,Oral,510,36,3.50627590596344,2.49850936573829,4.92052217106937,TRUE
MALAISE,Parenteral,141,11,3.90616815343544,2.11085172878061,7.22843269135132,TRUE
MALAISE,Transdermal,1751,52,1.41292688761812,1.07220063833155,1.86192986497449,TRUE
MYDRIASIS,Transdermal,1751,78,88.9934163344858,70.8531371714954,111.77808728093,TRUE
NAUSEA,Oral,510,18,0.974990650202481,0.609153293446988,1.56053784524927,FALSE
NAUSEA,Parenteral,141,12,2.47907553431678,1.37210472799076,4.47911546361891,TRUE
NAUSEA,Transdermal,1751,231,4.05116475336356,3.52743393204689,4.65265577614143,TRUE
PNEUMONIA,Oral,510,40,5.42390676811678,3.92738143370354,7.49068180054031,TRUE
PNEUMONIA,Parenteral,141,8,3.83306308593333,1.87789761933541,7.82384112396095,TRUE
PNEUMONIA,Transdermal,1751,58,2.18332921410309,1.68050052886683,2.83661110203301,TRUE
PRODUCT ADHESION ISSUE,Transdermal,1751,227,79.212678834838,68.8740250471285,91.1032640229409,TRUE
PRODUCT QUALITY ISSUE,Transdermal,1751,77,7.22359859650624,5.7479058001204,9.07815446146559,TRUE
PRURITUS,Oral,510,4,0.422309187777701,0.157884808168676,1.12958968092058,FALSE
PRURITUS,Parenteral,141,3,1.16137131207895,0.370002965204371,3.64533112261675,FALSE
PRURITUS,Transdermal,1751,22,0.679739022870599,0.446380210308192,1.03509324235962,FALSE
PYREXIA,Oral,510,19,2.44742793443301,1.54766892048241,3.87027445920149,TRUE
PYREXIA,Parenteral,141,18,9.25577524110191,5.6440817302763,15.1786206167502,TRUE
