pt,ROR_dimenhydrinate,ROR_promethazine,ROR_scopolamine,a_dimenhydrinate,a_promethazine,a_scopolamine,dlogROR_prom,dlogROR_dmh,verdict_vs_promethazine,verdict_vs_dimenhydrinate
MYDRIASIS,2.05522903595829,9.17627366848823,46.6549952753058,11,251,186,1.62615879765735,3.12239270665838,scopolamine higher,scopolamine higher
PRODUCT ADHESION ISSUE,0.156115709444929,0.674098974268955,19.3902033587081,3,68,277,3.35914628976758,4.82192577647849,scopolamine higher,scopolamine higher
SWOLLEN TONGUE,2.70475442743863,2.12065335033572,17.2545343495016,36,148,174,2.09635074445061,1.85306384627965,scopolamine higher,scopolamine higher
ACCOMMODATION DISORDER,4.04088172540599,0.7674667413291,15.6865464484754,1,1,3,3.01746356511652,1.35634051386053,scopolamine higher,scopolamine higher
ANGIOEDEMA,0.33838337643432,0.727394980966792,11.4475522701932,7,79,179,2.75606157803425,3.52135170808677,scopolamine higher,scopolamine higher
DYSPHONIA,3.24663753576367,1.63767789273045,9.31502980430806,91,242,199,1.73834988424341,1.0540093472634,scopolamine higher,scopolamine higher
SWELLING FACE,3.09152556656375,1.3928297068046,9.06174117146186,90,214,201,1.87272384578911,1.0753966039342,scopolamine higher,scopolamine higher
DRY MOUTH,4.46765052057317,2.06718169648353,7.15063954310738,165,404,203,1.24101561898257,0.470339139460484,scopolamine higher,scopolamine higher
DISORIENTATION,1.62601225419554,2.53881939534622,6.42174656091605,26,212,79,0.927990962696584,1.37355958318706,scopolamine higher,scopolamine higher
HALLUCINATION,6.24205851407786,2.96217649567426,6.28629829784951,207,520,162,0.752448090842381,0.00706237351234984,scopolamine higher,comparable
VISION BLURRED,5.04895863118658,1.34085692836653,5.86949664333742,306,437,275,1.47645997110247,0.150586869077573,scopolamine higher,comparable
DELIRIUM,5.00684736146093,2.57552044135327,5.62365574347687,78,211,68,0.780930313752532,0.116175492738666,scopolamine higher,comparable
DRUG INTOLERANCE,7.1457309302749,1.0687613109333,5.11999139943491,357,290,201,1.5666524347099,-0.333362346446074,scopolamine higher,scopolamine lower
CONFUSIONAL STATE,4.57563809616991,1.96593118666879,4.70031730964175,321,737,256,0.871663999708876,0.0268838555523991,scopolamine higher,comparable
URINARY RETENTION,10.4508802308119,2.47772425525335,4.57049972329592,157,198,54,0.612282047692699,-0.827063659906612,scopolamine higher,scopolamine lower
TACHYCARDIA,8.31952180445943,4.80247707457873,4.26165098329665,316,964,128,-0.119475202040221,-0.668948137789992,comparable,scopolamine lower
PRODUCT QUALITY ISSUE,0.201204426410905,0.605238390344985,4.1963604869527,13,205,205,1.93635046382574,3.037651439836,scopolamine higher,scopolamine higher
AGITATION,8.29850429533766,3.47037634517858,4.12446362865712,245,544,96,0.172672937014081,-0.699139311266976,comparable,scopolamine lower
HYPERSENSITIVITY,4.32666769789435,1.12778986005132,3.74173350549299,376,530,254,1.1992891667439,-0.145248652766018,scopolamine higher,comparable
HEAT STROKE,,1.37484832053058,3.71939124325082,,5,2,0.995216597914169,,scopolamine higher,NA
VOMITING,7.12720325733627,2.94666579250921,3.60731626263988,1352,3177,570,0.202289787000023,-0.680954829131427,comparable,scopolamine lower
