pt,a,n_ps_ss,ROR,lcl,ucl,ROR_any,direction_consistent
NAUSEA,355,3183,3.34665826006864,2.99688024045721,3.73726028771072,2.90799100817344,TRUE
VOMITING,231,3183,3.61923173413845,3.16550777959804,4.1379896235978,3.60731626263988,TRUE
HEADACHE,302,3183,3.46670083662579,3.079052229249,3.90315389147954,2.22082635291484,FALSE
DIZZINESS,317,3183,4.79763443603935,4.271937472432,5.38802272514699,2.87537361572813,TRUE
DEATH,117,3183,0.86235214454426,0.716961494636869,1.03722616453305,1.1985621552738,TRUE
DIARRHOEA,54,3183,0.53297806764238,0.407260519378893,0.697503458034747,1.42241877575582,TRUE
MALAISE,136,3183,2.06081813767544,1.73549750970585,2.44712042098631,2.03697544232236,TRUE
PRODUCT ADHESION ISSUE,272,3183,49.754875412463,43.9200690761963,56.3648391129558,19.3902033587081,TRUE
VISION BLURRED,236,3183,13.0025705522207,11.3863709942165,14.8481760388232,5.86949664333742,TRUE
PNEUMONIA,37,3183,0.749413589429382,0.541941298385384,1.03631284365055,2.27859988002895,TRUE
CONFUSIONAL STATE,148,3183,6.82469928343263,5.78612229912582,8.0496950982738,4.70031730964175,TRUE
HYPERSENSITIVITY,220,3183,8.34485354169134,7.27608688268709,9.57060872898228,3.74173350549299,TRUE
DYSPNOEA,37,3183,0.436985141670667,0.316010285935048,0.6042715143778,1.15690594489666,TRUE
PYREXIA,36,3183,0.723442671045835,0.520854080823767,1.00482902516994,1.81635175690547,TRUE
FALL,55,3183,1.1209036948634,0.858566383457027,1.46339889071757,1.70256305473702,TRUE
PRODUCT QUALITY ISSUE,191,3183,10.0346044850231,8.66805209594838,11.6165992147084,4.1963604869527,TRUE
DRY MOUTH,174,3183,15.6407970315983,13.4216106229722,18.2269131966131,7.15063954310738,TRUE
DRUG INTOLERANCE,180,3183,11.7294788063232,10.0901341723915,13.635167849842,5.11999139943491,TRUE
SWELLING FACE,169,3183,19.412227526656,16.6218929264458,22.670978522976,9.06174117146186,TRUE
DYSPHONIA,181,3183,21.6841435194984,18.658584176094,25.2003086481042,9.31502980430806,TRUE
WRONG TECHNIQUE IN PRODUCT USAGE PROCESS,158,3183,4.58492479686175,3.9069738793814,5.38051598036435,2.20288539706215,FALSE
CONSTIPATION,50,3183,1.51511123396142,1.14575319947982,2.00353972593601,2.34590058852002,TRUE
MYDRIASIS,178,3183,114.292579805212,98.119247379452,133.131818143832,46.6549952753058,TRUE
SOMNOLENCE,84,3183,2.95714909966775,2.38080226979174,3.67301850666949,2.62282030359691,FALSE
ABDOMINAL PAIN,36,3183,1.07661667831697,0.775119424929729,1.49538694909543,2.21287155314978,TRUE
HALLUCINATION,125,3183,12.2424349779184,10.2355846525759,14.6427604553924,6.28629829784951,TRUE
DELIRIUM,46,3183,9.47212602763821,7.07816254901052,12.6757715526049,5.62365574347687,TRUE
AGITATION,55,3183,5.87948489025649,4.50294851814433,7.67682384896553,4.12446362865712,TRUE
AMNESIA,38,3183,4.46070055089351,3.23914921122043,6.14292460989923,2.78444743684949,TRUE
DISORIENTATION,64,3183,13.0133499831676,10.1573319472775,16.6724173890761,6.42174656091605,TRUE
LETHARGY,15,3183,1.90316274498633,1.14586993006258,3.1609420396485,2.9814298554892,FALSE
SEDATION,9,3183,2.40697811026777,1.25103579937486,4.63099747121802,3.13650687471175,FALSE
URINARY RETENTION,29,3183,6.08863749431345,4.22320680962269,8.77804668544556,4.57049972329592,TRUE
TACHYCARDIA,41,3183,3.36579354128872,2.47312086244282,4.58067631655943,4.26165098329666,TRUE
DRY EYE,12,3183,1.52688034276638,0.866126875182782,2.691711396941,1.38680680380211,TRUE
ACCOMMODATION DISORDER,3,3183,38.8814003606456,12.4837500762264,121.098490819979,15.6865464484754,TRUE
ANGIOEDEMA,170,3183,27.7991801354607,23.8110869692309,32.455234706522,11.4475522701932,TRUE
SWOLLEN TONGUE,164,3183,41.5202649734959,35.4633728095672,48.6116312942528,17.2545343495016,TRUE
ANAPHYLACTIC REACTION,4,3183,0.495408634680562,0.185809648758105,1.32086636488705,1.15230744051044,TRUE
URTICARIA,22,3183,0.895947994978457,0.589057296061017,1.3627245007806,0.739008411516082,TRUE
RASH,55,3183,0.823064712861511,0.630438254955007,1.07454697781014,0.957419498706838,TRUE
PRURITUS,45,3183,0.766071980637985,0.570771297479327,1.02819865348934,0.70717841888532,TRUE
ERYTHEMA,36,3183,1.14557868454515,0.824767569888154,1.59117619363012,0.755063433080768,TRUE
SWELLING,9,3183,0.614757131460299,0.319555829127016,1.18266135752785,0.82822919081041,TRUE
HYPERTHERMIA,3,3183,2.9285482566886,0.943714707667343,9.08791059636322,1.57582486576178,FALSE
